county,race_title,winner_name,winner_votes,runner_up_name,runner_up_votes,margin_of_victory,total_votes_cast
Columbia,"Town Council for Kinderhook, Columbia County",Sean Casey,1657,Jessie Anderson,1624,0.5166744950681035,6387
Columbia,"Town Council for Ancram, Columbia County",Jennifer Boice,382,Amy Gold,372,0.6734006734006703,1485
Dutchess,Wappinger Member of Town Council-Ward 1,William H. Beale,721,Samtreo Tucker,708,0.9097270818754388,1429
Dutchess,Pine Plains Town Supervisor,Brian Walsh,427,Kevin Joseph Walsh,419,0.9456264775413725,846
Columbia,"Town Council for New Lebanon, Columbia County",Joanne E. Amlaw,549,Chris Patterson,524,1.2159533073929973,2056
Dutchess,Hyde Park Town Supervisor,Alfred D. Torreggiani,2912,Andre J. Clarke,2837,1.30434782608696,5750
Columbia,"Town Council for Ghent, Columbia County",Wally Engel,1139,Carl Quinn,1081,1.3469577333952654,4306
Dutchess,County Legislator District 3,Michael Polasek,1719,David Siegel,1658,1.80580224985199,3378
Dutchess,Wappinger Member of Town Council-Ward 3,Christopher Phillips,1118,Robert Cofer Jr.,1069,2.2333637192342772,2194
Dutchess,Amenia Member of Town Council,Nicole M. Ahearn,589,Walter R. Dietrich,540,2.28013029315961,2149
Ulster,Ulster County Legislature District 13,Richard T Walls,712,Adrienne Gelfand-Perine,665,3.4107402031930354,1378
Columbia,"Town Clerk/Tax Collector for Claverack, Columbia County",William R. Dickie Michael,1104,Amber D'Amato,1028,3.5613870665417102,2134
Dutchess,Hyde Park Town Clerk,Sarah J. Hohmann,3005,Azra Daie,2710,5.160951714485651,5716
Dutchess,County Legislator District 7,Lew Darrow,1775,Trish Prunty,1588,5.558858501783587,3364
Greene,State Supreme Court Justice 3rd Judicial District,Dana Lynn Salazar,5244,"William T. Little, Jr.",4656,5.936395759717317,9905
Columbia,"Town Supervisor for Ghent, Columbia County",Craig Simmons,1158,Frederick Hutchinson,1022,6.238532110091738,2180
Columbia,"Town Supervisor for Claverack, Columbia County",Clifford Kippy Weigelt,1137,Ilze Earner,1002,6.311360448807851,2139
Ulster,Denning Superintendent of Highways,Leonard Johnson,111,Bill Leudemann,95,7.7669902912621325,206
Ulster,Town of Ulster Town Justice,Susan L Kesick,1813,Amy Ingram,1542,8.077496274217587,3355
Dutchess,Town of Poughkeepsie Member of Town Council-Ward 1,Bill Reuter,867,Gregory Freeman,733,8.369768894440972,1601
Dutchess,Hyde Park Member of Town Council-Ward 4,Donald E. Prusakowski Sr.,915,Rogerrio Rodriguez,771,8.540925266903908,1686
Dutchess,County Legislator District 22,Joseph Tresca,1818,Heidi Tucci,1496,9.658068386322732,3334
