county,race_title,winner_name,winner_votes,runner_up_name,runner_up_votes,margin_of_victory,total_votes_cast
Dutchess,Clinton Member of Town Council,Eliot Werner,809,Katherine K. Mustello,805,0.1279590531030106,3126
Ulster,Esopus Supervisor,Roscoe T Pecora,1534,Danielle Freer,1521,0.4240052185257692,3066
Dutchess,Pleasant Valley Member of Town Council,Meghan Borland,1459,Michael S. Rifenburgh,1399,1.0936930368209974,5486
Ulster,Ulster County Legislature District 11,Laura Donovan,1183,Thomas J Corcoran Jr,1147,1.5430775825117815,2333
Dutchess,County Legislator District 25,Eric Alexander,1788,Deirdre A. Houston,1732,1.5909090909090873,3520
Columbia,"Town Council Unexpired Term for New Lebanon, Columbia County",Susan Tipogragh,528,Joanna Phillips,508,1.9286403085824522,1037
Dutchess,Hyde Park Superintendent of Highways,Ray Davis,2920,Rodney J. Wager,2808,1.9536019536019578,5733
Columbia,"Town Justice for Livingston, Columbia County",Elizabeth Kennedy,592,Angela Guzzi,567,2.157031924072478,1159
Ulster,Town of Ulster Councilperson,Laura Hartmann,1781,Michael T Schatzel,1619,2.489626556016597,6507
Dutchess,Wappinger Member of Town Council-Ward 2,Heather O'Dell,748,Sara Sheehan,696,3.5936420179682074,1447
Dutchess,County Legislator District 2,Emma Arnoff,1851,Ryan Travelpiece,1716,3.7846930193439876,3567
Dutchess,County Legislator District 14,Alix Winsby,1297,Lynne Miele-Versaci,1195,4.089815557337611,2494
Columbia,"Town Supervisor for Ancram, Columbia County",Colleen Lutz,389,James MacArthur,358,4.149933065595718,747
Columbia,"Town Council for Clermont, Columbia County",Anthony Finta,368,Kris Gildersleeve,323,4.509018036072144,998
Ulster,Wawarsing Supervisor,Joseph Stoeckeler III,1364,Terry Houck,1209,6.019417475728156,2575
Dutchess,Hyde Park Member of Town Council-Ward 3,Paul Donnelly,650,Gregory A. Campus,566,6.907894736842102,1216
Dutchess,County Legislator District 5,Anna Shah,1719,Tony D'Aquanni,1493,7.036114570361146,3212
Ulster,LLoyd Supervisor,Stuart Weiss,1802,Dave Plavchak,1564,7.0686070686070686,3367
Ulster,Olive Town Clerk/Tax Collector,Kimberly Daley,1060,Dawn Giuditta,919,7.121212121212123,1980
Ulster,Plattekill Supervisor,Michael Lembo,1049,Dean A Depew Sr,893,8.032955715756952,1942
Dutchess,Town of Poughkeepsie Member of Town Council-Ward 3,Shantha Thangiah,1074,Anne Burger,902,8.700050581689423,1977
Ulster,Esopus Tax Collector,Lynn Corcoran-Johnston,1670,Lorrie Morse,1389,9.18600849950964,3059
Ulster,Wawarsing Superintendent of Highways,Tony Paes Jr,1393,Dave Collier,1151,9.508840864440076,2545
Ulster,Ulster County Legislature District 8,Joseph Donaldson,1342,Jared Geuss,1107,9.591836734693882,2450
